id,userId,headline,location,workPreference,experienceLevel,bio,careerGoals,technicalSkills,softSkills,certifications,interests,preferredRoles,employabilityScore,careerReadinessScore
prof_1,user_1,Aspiring Software Engineer,Remote,Remote,Entry Level,Aspiring Software Engineer with a strong interest in Web Development.,Become a leading professional in Full-Stack Developer.,JavaScript|TypeScript|React.js|Angular|Vue.js|Node.js|Express.js|Python,Communication|Teamwork|Problem Solving,AWS Certified Cloud Practitioner|Google Cloud Certified,Web Development|AI/ML|Cloud Computing,Full-Stack Developer|Frontend Developer,50,55
prof_2,user_2,Frontend Enthusiast,On-site,On-site,Mid Level,Frontend Enthusiast with a strong interest in AI/ML.,Become a leading professional in Frontend Developer.,TypeScript|React.js|Angular|Vue.js|Node.js|Express.js|Python|Django,Teamwork|Problem Solving|Adaptability,Google Cloud Certified|Oracle Java Certified,AI/ML|Cloud Computing|Cyber Security,Frontend Developer|Backend Developer,52,57
prof_3,user_3,Backend Specialist,Hybrid,Hybrid,Senior,Backend Specialist with a strong interest in Cloud Computing.,Become a leading professional in Backend Developer.,React.js|Angular|Vue.js|Node.js|Express.js|Python|Django|Flask,Problem Solving|Adaptability|Critical Thinking,Oracle Java Certified|Microsoft AZ-900,Cloud Computing|Cyber Security|Mobile Apps,Backend Developer|Data Scientist,54,59
prof_4,user_4,AI & ML Learner,Bengaluru,Remote,Lead,AI & ML Learner with a strong interest in Cyber Security.,Become a leading professional in Data Scientist.,Angular|Vue.js|Node.js|Express.js|Python|Django|Flask|Java,Adaptability|Critical Thinking|Leadership,Microsoft AZ-900|Certified Scrum Master,Cyber Security|Mobile Apps|UI/UX,Data Scientist|DevOps Engineer,56,61
prof_5,user_5,DevOps Practitioner,New York,On-site,Entry Level,DevOps Practitioner with a strong interest in Mobile Apps.,Become a leading professional in DevOps Engineer.,Vue.js|Node.js|Express.js|Python|Django|Flask|Java|Spring Boot,Critical Thinking|Leadership|Time Management,Certified Scrum Master|Cisco CCNA,Mobile Apps|UI/UX|Data Analytics,DevOps Engineer|Cloud Architect,58,63
prof_6,user_6,Cloud Computing Student,San Francisco,Hybrid,Mid Level,Cloud Computing Student with a strong interest in UI/UX.,Become a leading professional in Cloud Architect.,Node.js|Express.js|Python|Django|Flask|Java|Spring Boot|Kotlin,Leadership|Time Management|Attention to Detail,Cisco CCNA|CompTIA Security+,UI/UX|Data Analytics|Automation,Cloud Architect|Product Manager,60,65
prof_7,user_7,Cybersecurity Aspirant,London,Remote,Senior,Cybersecurity Aspirant with a strong interest in Data Analytics.,Become a leading professional in Product Manager.,Express.js|Python|Django|Flask|Java|Spring Boot|Kotlin|Swift,Time Management|Attention to Detail|Creativity,CompTIA Security+|IBM Data Science Professional Certificate,Data Analytics|Automation|Open Source,Product Manager|QA Engineer,62,67
prof_8,user_8,Data Science Explorer,Berlin,On-site,Lead,Data Science Explorer with a strong interest in Automation.,Become a leading professional in QA Engineer.,Python|Django|Flask|Java|Spring Boot|Kotlin|Swift|Objective-C,Attention to Detail|Creativity|Collaboration,IBM Data Science Professional Certificate,Automation|Open Source|Blockchain,QA Engineer|Full-Stack Developer,64,69
prof_9,user_9,Product-focused Developer,Toronto,Hybrid,Entry Level,Product-focused Developer with a strong interest in Open Source.,Become a leading professional in Full-Stack Developer.,Django|Flask|Java|Spring Boot|Kotlin|Swift|Objective-C|C#,Creativity|Collaboration,AWS Certified Cloud Practitioner|Google Cloud Certified,Open Source|Blockchain|Web Development,Full-Stack Developer|Frontend Developer,66,71
prof_10,user_10,Software Architect in Training,Singapore,Remote,Mid Level,Software Architect in Training with a strong interest in Blockchain.,Become a leading professional in Frontend Developer.,Flask|Java|Spring Boot|Kotlin|Swift|Objective-C|C#|.NET,Collaboration,Google Cloud Certified|Oracle Java Certified,Blockchain|Web Development|AI/ML,Frontend Developer|Backend Developer,68,73
